36,Aeromonas phage PX29,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
37,Aeromonas phage 25,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
38,Aeromonas phage phiAS4,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
39,Aeromonas phage phiAS5,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
40,Aeromonas phage vB_AsaM-56,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
41,Aeromonas phage phiAS7,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
42,Aeromonas phage Aes508,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
43,Aeromonas phage 65,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
44,Aeromonas phage 31,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
45,Aeromonas phage 44RR2.8t,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
46,Aeromonas phage Aes012,Aeromonas sp. ASNIH4,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
47,Aeromonas phage pIS4-A,Aeromonas sp. ASNIH4,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
48,Aggregatibacter phage S1249,Aggregatibacter actinomycetemcomitans,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
49,Agrobacterium phage 7-7-1,Agrobacterium sp. 33MFTa1.1,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
50,Vibrio phage douglas 12A4,Aliivibrio fischeri,Aliivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
51,Alteromonas phage vB_AmaP_AD45-P1,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
52,Alteromonas phage vB_AmaP_AD45-P3,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
53,Alteromonas phage vB_AmaP_AD45-P4,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
54,Alteromonas phage vB_AmaP_AD45-P2,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
55,Anabaena phage A-4L,Anabaena variabilis,Anabaena,Nostocaceae,Nostocales,Nostocales,Cyanobacteria,Bacteria
56,Arthrobacter phage vB_ArtM-ArV1,Arthrobacter sp. FB24,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
57,Arthrobacter phage vB_ArS-ArV2,Arthrobacter sp. FB24,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
58,Azospirillum phage Cd,Azospirillum brasilense,Azospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
59,Bacillus phage Troll,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
60,Bacillus phage vB_BanS-Tsamsa,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
61,Bacillus phage Cherry,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
62,Bacillus phage WBeta,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
63,Bacillus phage Fah,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
